genre,peak_month,peak_value
action,12,83.83333333333333
adventure,5,83.5
animation,12,88.5
anime,12,91.0
biography,1,84.75
comedy,12,78.33333333333333
crime,8,83.5
documentary,3,80.2
drama,12,80.16666666666667
entertainment,7,93.75
fantasy,8,92.75
foreign,12,86.83333333333333
gay  lesbian,12,71.33333333333333
history,2,91.75
holiday,12,64.0
horror,10,84.75
kids  family,10,78.25
lgbtq,6,88.6
music,12,97.0
musical,12,85.0
mystery  thriller,1,80.5
nature,6,70.4
news,7,91.0
other,12,90.0
romance,12,83.83333333333333
science fiction,2,90.25
short,12,83.0
special interest,2,25.0
sports,12,89.33333333333333
standup,1,82.0
variety,10,57.75
war,4,91.75
western,12,85.66666666666667
