genre,season,count
action,1,14
action,2,13
action,3,13
action,4,13
adventure,1,14
adventure,2,13
adventure,3,13
adventure,4,13
animation,1,14
animation,2,13
animation,3,13
animation,4,13
anime,1,14
anime,2,13
anime,3,13
anime,4,13
biography,1,14
biography,2,13
biography,3,13
biography,4,13
comedy,1,14
comedy,2,13
comedy,3,13
comedy,4,13
crime,1,14
crime,2,13
crime,3,13
crime,4,13
documentary,1,14
documentary,2,13
documentary,3,13
documentary,4,13
drama,1,14
drama,2,13
drama,3,13
drama,4,13
entertainment,1,14
entertainment,2,13
entertainment,3,13
entertainment,4,13
fantasy,1,14
fantasy,2,13
fantasy,3,13
fantasy,4,13
foreign,1,14
foreign,2,13
foreign,3,13
foreign,4,13
gay  lesbian,1,14
gay  lesbian,2,13
gay  lesbian,3,13
gay  lesbian,4,13
history,1,14
history,2,13
history,3,13
history,4,13
holiday,1,14
holiday,2,13
holiday,3,13
holiday,4,13
horror,1,14
horror,2,13
horror,3,13
horror,4,13
kids  family,1,14
kids  family,2,13
kids  family,3,13
kids  family,4,13
lgbtq,1,14
lgbtq,2,13
lgbtq,3,13
lgbtq,4,13
music,1,14
music,2,13
music,3,13
music,4,13
musical,1,14
musical,2,13
musical,3,13
musical,4,13
mystery  thriller,1,14
mystery  thriller,2,13
mystery  thriller,3,13
mystery  thriller,4,13
nature,1,14
nature,2,13
nature,3,13
nature,4,13
news,1,14
news,2,13
news,3,13
news,4,13
other,1,14
other,2,13
other,3,13
other,4,13
romance,1,14
romance,2,13
romance,3,13
romance,4,13
science fiction,1,14
science fiction,2,13
science fiction,3,13
science fiction,4,13
short,1,14
short,2,13
short,3,13
short,4,13
special interest,1,14
special interest,2,13
special interest,3,13
special interest,4,13
sports,1,14
sports,2,13
sports,3,13
sports,4,13
standup,1,14
standup,2,13
standup,3,13
standup,4,13
variety,1,14
variety,2,13
variety,3,13
variety,4,13
war,1,14
war,2,13
war,3,13
war,4,13
western,1,14
western,2,13
western,3,13
western,4,13
